,Action.L,Action.R,Action.U,Action.D,Action.W,Action.C
"[[ 0.  0. 13.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0.  6.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0. 15.  4.  4.]]",166.4984155686289,324.1988313569528,187.17579513213747,125.41935583946426,-10.76946668310466,62.173521924968114
"[[ 0.  0.  3.  3. 13.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [11.  0.  4.  4.  4.]]",71.5455288442543,61.94430145529283,63.67177664782875,2.723837378633963,276.7405525724807,-115.13521999291495
"[[ 0.  0.  3.  3. 13.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [11.  0.  4.  4.  4.]]",-48.56984347597927,-43.88441358162355,-22.88453940909441,-1.95292789977751,238.61055535654066,-80.5456116744572
"[[ 0.  0. 13.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0. 15.  4.  4.]]",150.4941166394948,338.5906637013852,279.8465043318128,162.63445930613807,88.15259690413524,96.97220917554635
"[[ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [11.  0.  1.  4. 11.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]]",-92.36272714921137,-91.44956615978556,-89.63052769170687,-113.67537844934476,61.49549958173155,-190.09669848819289
"[[ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [11.  0.  3.  6. 13.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]]",-103.02588966827162,-87.71509426217946,-58.9007780781,-107.82473341092609,25.731923118546217,-187.28918491322628
"[[ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [11.  0.  4.  4. 14.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]]",-105.38768002763162,-72.34761647157039,-94.825900141491,-107.49148684746358,-13.778188252301655,-163.8506814281252
"[[10.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4. 15.]]",26.180102910820143,19.860072730018896,68.06442254910706,33.178462877765035,-134.92303326967294,273.6795021600436
"[[10.  3.  3.  3.  3.]
 [ 0.  3.  6.  3.  3.]
 [ 0.  1.  4.  1.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4. 15.]]",-19.50836086610287,25.089917275480275,55.05269727021215,-60.57839010588479,-106.18121843514326,196.9868542491201
"[[ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [10.  0.  1.  4. 12.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]]",-146.667677046292,-137.17887355114334,-124.81920087941174,-125.37861628603474,-177.56110490369997,69.99243994776376
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  6.  3.  3.]
 [10.  1.  4.  1. 12.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4.  4.]]",-124.17337469282336,-135.08161409025718,-103.7103,-91.83776134602734,-165.51958878867737,11.875362352964014
"[[ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [10.  0.  4.  4. 15.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]]",-119.6888986685471,-106.33133055739108,-117.60814072241172,-118.17547495770994,-165.2977622037,-24.058989291693862
"[[ 0.  0.  3.  3. 14.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [10.  0.  4.  4.  4.]]",-167.02799507099996,-156.99019924892997,-183.3136261054323,-186.48281702581107,-235.96205089298428,-133.83610604324963
"[[ 0.  0.  3.  3. 14.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [10.  0.  4.  4.  4.]]",-156.35443877974473,-156.04109939999995,-170.19512358856605,-172.82060285945997,-214.4058630478137,-92.57926161817532
"[[ 0.  0. 14.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0. 14.  4.  4.]]",-228.63464268763445,-173.01184155732,-166.2352517276989,-203.375140178584,-193.85626265291185,-213.77792981007724
"[[ 0.  0. 14.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0. 14.  4.  4.]]",-156.89905607999998,-157.52305049999998,-146.294823,-187.1291174793,-188.5143820020221,-156.1126426316774
"[[11.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4. 14.]]",-205.40790771189108,-209.3586336722013,-190.38047238048225,-189.41832819521392,-99.21376037231784,-243.71111073280784
"[[11.  3.  3.  3.  3.]
 [ 0.  3.  6.  3.  3.]
 [ 0.  1.  4.  1.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4. 14.]]",-186.8445734150518,-198.1275539649048,-177.02954614985677,-198.7680559191128,-123.1315672268164,-187.84729093833155
"[[ 0.  3. 14.  3.  3.]
 [ 0.  3.  6.  3.  3.]
 [ 0.  1.  4.  1.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4. 14.  4.  4.]]",-126.83175,-169.51848422999998,-150.710262,-91.296,-186.0367573846221,-137.46012929999998
"[[ 0.  3.  3.  3. 14.]
 [ 0.  3.  6.  3.  3.]
 [ 0.  1.  4.  1.  1.]
 [ 0.  4.  4.  4.  4.]
 [10.  4.  4.  4.  4.]]",-107.0859,-108.61679999999998,-166.18842602656602,-154.97028,-164.17565708999996,-126.2814580424968
"[[ 0.  0.  3.  6. 14.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]
 [10.  0.  4.  4.  4.]]",-144.5946651,-161.96576240999997,-117.615333,-111.5673,-224.30982744453704,-138.37137596902454
"[[10.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4.  4.]
 [ 0.  0.  4.  4. 15.]]",0.29647045674092,-58.61929119026827,64.46491840146606,-13.466347553996853,-128.09175192951488,164.14999311428642
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  6.  3.  3.]
 [11.  1.  4.  1. 11.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4.  4.]]",-98.39914079612493,-75.98999999999998,-55.59587860200314,-111.33772019634596,49.29203901609873,-174.08164816036555
"[[ 0.  0. 14.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  6.  3.]
 [ 0.  0.  1.  4.  1.]
 [ 0.  0. 14.  4.  4.]]",-107.0859,-154.0136607,-112.5858,-173.06342661,-167.82835174503535,-155.66597167385157
